id,pNumber,mNumber,alpha,beta
IPI00133047.1;IPI00669600.1,341826.38,14.04,2.15,647.71
IPI00320480.3;IPI00894742.1;IPI00895501.1;IPI00895441.1;IPI00895436.1,378664.89,49.77,3.73,265.54
IPI00132350.1;IPI00880514.1,326496.8,11.92,0.92,1342.63
IPI00337980.5;IPI00187426.1,380400.93,21.22,1.96,642.14
IPI00118963.1,408178.29,,,
IPI00118795.1;IPI00274750.5,410023.09,10.65,0.92,1351.72
IPI00124149.1,399948.84,2.45,0.32,4623.45
IPI00263874.3;IPI00754704.2;IPI00886213.1;,557267.67,35.77,3.04,398.83
IPI00399943.3;IPI00652873.2,563450.73,57.78,5.57,362.84
IPI00132653.1;IPI00858156.1;IPI00856651.1,650466.62,36.63,2.52,314.85
IPI00312468.5,599064.76,41.65,3.5,452.03
IPI00120719.4,386574.28,96.75,7.51,113.44
IPI00132390.5;IPI00400230.1,364619.06,,,
IPI00230754.5;IPI00648357.1;IPI00648119.1,565237.33,36.12,2.99,402.66
IPI00118143.1;IPI00624988.4;IPI00121977.3,368619.04,,,
IPI00122015.1;IPI00222044.1;IPI00461250.1;,549110.44,18.4,1.75,995.89
IPI00462934.2,483455.53,35.6,3.41,459.28
IPI00676631.1;IPI00877211.1,275500.75,31.74,2.16,254.95
IPI00405108.1,360613.31,,,
IPI00135512.1,489784.72,34.3,2.68,425.6
IPI00331556.5,704633.72,46.11,2.68,441.05
IPI00133706.1,595427.42,65.13,4.29,302.23
IPI00471341.2;IPI00880507.1,268350.88,37.01,4.3,345.58
IPI00404551.1;IPI00111013.1;IPI00881091.1;IPI00927957.1,770149.72,,,
IPI00225912.8;IPI00608122.1,410627.88,31,4.19,580.75
IPI00127983.1;IPI00223492.2;IPI00885547.1,466616.75,,5.15,
IPI00755389.2;IPI00649385.1;IPI00649622.1,557974.67,,,
IPI00128818.2;IPI00775838.1,602135.3,62.75,5.82,297.64
IPI00118819.1;IPI00857485.1;IPI00461010.2;IPI00928009.1;,405881.82,30.42,2.1,508.76
IPI00131577.1;IPI00652020.1,393337.22,24.43,3.61,1038.62
IPI00323820.4,552318.55,78.23,5.98,268.87
IPI00750256.2;IPI00128209.3;IPI00752998.1,571330.82,34.64,3.35,477.62
IPI00278498.10;IPI00890054.1;IPI00608124.3,511497.71,56.41,6.1,444.64
IPI00128389.3;,755271.66,177.69,17.34,191.79
IPI00133690.2,565950.89,56.18,5.86,302.49
IPI00228583.5,441425.75,45.24,3.62,306.46
IPI00117016.1;IPI00330449.2;IPI00330348.1,564101.71,62.1,5.1,365.59
IPI00315808.3,193659.09,,,
IPI00112701.1,321908.44,13.6,1.84,710.22
IPI00387337.1;IPI00461581.1,539078.9,63.55,5,304.7
IPI00323822.1,345530.86,23.31,2.38,684.74
IPI00109932.1,497118.44,23.88,3.68,895.68
IPI00387212.1;,416767.17,26,2.64,491.27
IPI00877286.1;IPI00134784.6;IPI00886120.1,343170.22,44.61,3.85,262.47
IPI00116991.1;IPI00331327.3;IPI00759998.1;IPI00120561.3;IPI00875330.1;IPI00895086.1,507961.01,50.46,3.79,308.89
IPI00623214.2,349271.5,,,
IPI00953783.2;IPI00122862.4,548842.83,34.97,2.21,461.71
IPI00608020.4;IPI00762203.2;IPI00625129.3;IPI00228379.5;IPI00381328.5;IPI00379258.1;IPI00669044.1;IPI00623155.5,372255.56,866.36,57.43,28.91
IPI00471077.3,464706.16,25.16,2.06,511.8
IPI00116236.5,488401.97,20.87,1.29,452.7
IPI00310658.5;IPI00880262.1,497472.86,22.97,1.77,559.5
IPI00128326.1;IPI00678029.2;IPI00885924.1;IPI00919157.1;IPI00886420.1;IPI00928255.1,298984.47,178.55,15.56,204.55
IPI00263313.1,544662.58,39.52,4,525.11
IPI00135214.1;IPI00553786.1,225443.11,,,
IPI00314240.5;IPI00954313.1;IPI00954304.1;IPI00954302.1,214873.39,277.76,13.2,24.38
IPI00381407.3;IPI00463070.3;IPI00850066.1;IPI00665993.3,350577.13,,,
IPI00624711.3,165771.13,,27.72,
IPI00133977.3;IPI00876202.1,638959.91,,,
IPI00754649.2;IPI00620222.3;IPI00467172.2;IPI00928288.1;IPI00853764.1;IPI00944762.1;IPI00648375.2,544445.58,80.55,4.54,274.12
IPI00136251.1,508518.83,40.65,3.29,590.33
IPI00480307.1;IPI00120513.3;IPI00756831.1,510501.64,30.84,3.11,537.54
IPI00459381.2;IPI00830815.1,395266.01,71.46,6.07,213.69
IPI00134809.2;IPI00845858.1,471438.72,51.37,5.15,263.9
IPI00230349.9,244430.58,17.14,1.18,2007.24
IPI00331315.9,503544.51,13.65,1.27,1048
IPI00226771.4,321422.06,8.21,0.45,1275.24
IPI00153794.3;IPI00929833.1;IPI00929884.1,319524.04,9.8,1.14,857.13
IPI00116154.2;IPI00785410.1,295842.0,85.79,7.2,92.44
IPI00221615.5;IPI00754018.1,471973.98,58.24,4.25,283.52
IPI00109082.3,533533.32,67.03,4.73,238.51
IPI00330591.1,304630.49,131.92,9.26,174.06
IPI00133110.1,358703.25,18.93,1.54,597.02
IPI00133399.1,270942.04,68.36,5,231.02
IPI00664670.4;IPI00753917.2;,443168.91,50.05,3,247.44
IPI00113635.7;IPI00675933.2;IPI00856637.1;IPI00881326.1;IPI00855003.1;IPI00881092.1;,452290.82,42.54,3.44,292.08
IPI00453826.2,664990.61,28.85,2.11,739.76
IPI00466200.3;IPI00459357.1,316377.08,7.22,0.34,1765.05
IPI00828615.1;IPI00134549.1,570834.62,62.11,3.22,380.69
IPI00132042.1,509974.03,20.24,2.3,
IPI00109482.3;IPI00880463.1,398315.87,26.04,1.55,526.4
IPI00177205.1;IPI00753529.1,203443.27,26.56,2.92,409.05
IPI00133928.1,381843.68,22.68,2.96,468.84
IPI00132217.1;IPI00857192.1;IPI00856326.1,474966.67,55.22,3.5,307.89
IPI00114329.1;IPI00830535.1,417407.61,34.74,4.27,430.69
IPI00459487.3;IPI00665996.3,410433.0,19.68,1.41,537.81
IPI00473196.1;IPI00649867.1,532301.26,,,
IPI00109447.1;IPI00831637.1,538088.41,10.92,0.66,1273.02
IPI00319652.2,482780.49,227.28,17.33,83.76
IPI00121013.1;IPI00830525.1;IPI00336400.1,467021.54,25.88,1.94,558.72
IPI00116331.1;IPI00399631.1,454801.76,45.56,3.39,377.92
IPI00118832.1;IPI00857686.1;IPI00857436.1;IPI00856287.1,534025.44,40.6,3.11,413.26
IPI00124284.3;IPI00673161.1,500153.83,26.27,3.72,685.66
IPI00929758.1;IPI00648794.3,499160.53,49.88,2.47,383.78
IPI00649950.3;IPI00469260.3,487423.66,67.81,3.93,260.75
IPI00331146.5,428675.99,17.07,1.35,786.92
IPI00131228.1;IPI00474820.1,267179.38,18.47,1.83,463
IPI00129792.1;IPI00882353.1,524988.71,24.75,3.19,768.77
IPI00226930.2,416054.07,37.39,3.66,490.71
IPI00120083.1,454681.38,22.03,1.52,628.27
IPI00127021.1;IPI00469261.2;IPI00881361.1,318308.96,86.76,6.58,127.43
IPI00464223.6;IPI00849670.1;IPI00848943.1;IPI00850630.3;IPI00677130.2;IPI00831075.1;,396118.32,80.25,4.25,186.64
IPI00122223.1,410207.05,106.85,10.04,362.35
IPI00751137.1;IPI00377728.2,346796.7,39.72,3.58,324.16
IPI00133562.1;IPI00751223.1;IPI00754739.1;IPI00757033.1,267840.55,25.48,1.7,195.95
IPI00757611.1;IPI00463344.5;IPI00648539.2;IPI00648819.2;IPI00648387.2;IPI00648157.1,346257.27,41.15,3.89,411.48
IPI00223092.5,424862.49,18.64,0.98,681.49
IPI00895251.1;IPI00894649.1;IPI00894766.1;IPI00420841.3;IPI00894977.1;IPI00894723.1,439010.51,58.31,5,228.88
IPI00119876.1,362995.64,39.71,2.03,270.23
IPI00130353.5,364215.99,39.54,2.7,269.1
IPI00330599.1;IPI00652056.1,418724.13,56.63,4.22,244.1
IPI00775863.1;IPI00162780.3;IPI00758356.1;IPI00756766.1;IPI00776388.1;IPI00606073.1,434368.14,115.25,7.62,219.72
IPI00116192.1,511287.02,,,
IPI00320121.6;IPI00848891.1,270590.69,484.91,50.24,77.16
IPI00123379.1;IPI00405603.1,431914.95,80.21,4.7,255.22
IPI00132151.1,299273.97,5.65,0.52,6189.55
IPI00131909.1,264688.13,23.74,2.29,892.94
IPI00309398.6,459789.98,53.99,3.86,283.8
IPI00116825.1,317045.88,72.09,4.99,199.46
IPI00128692.1,498169.58,9.07,0.72,1361.44
IPI00556838.2;IPI00120930.1,327378.68,20.71,2.31,763.96
IPI00124938.1;IPI00230763.1,431730.49,11.13,0.95,1300.2
IPI00466610.5;IPI00378858.3;IPI00869412.1,284958.39,22.35,1.85,338.76
IPI00465765.2;IPI00831646.1;IPI00830309.1;IPI00828639.2;IPI00828673.2;IPI00889955.1,497655.39,46.39,3.78,327.09
IPI00187443.1;IPI00405405.1,484074.12,58.4,4.75,318.11
IPI00349069.4,298479.98,22.16,1.8,448.98
IPI00379876.2;IPI00857844.1,429632.09,30.14,1.86,406.95
IPI00227720.3;IPI00856442.1;IPI00856853.1;IPI00652367.1,388068.03,31.41,3.12,506.02
IPI00454151.1;IPI00137229.1;IPI00137817.1,401756.0,217.65,21.69,77.2
IPI00117642.3,345208.83,34.74,4.21,420.23
IPI00226872.1,347865.17,17.22,1.28,577.9
IPI00229884.1,308611.38,18.88,1.75,567.21
IPI00555150.2;IPI00420136.2;IPI00857621.1;IPI00857793.1,471982.73,36.34,2.52,561.55
IPI00757359.1;IPI00881332.1;IPI00121515.5;IPI00757442.1;IPI00876568.1;IPI00757986.1,587975.39,49.83,3.45,566.71
IPI00131056.1;IPI00129857.1,418931.55,12.41,2.08,936.22
IPI00930882.1;IPI00114641.3,478150.53,76.93,8.1,350.97
IPI00331444.7,569154.49,72.51,7.71,274.7
IPI00330627.5;IPI00756122.1;IPI00652447.1;IPI00754290.1,342375.72,13.1,1.24,734.06
IPI00132448.1;IPI00880225.1;IPI00880947.1;IPI00881213.1,240040.95,29.32,3.22,284.66
IPI00653423.2;IPI00762176.1;IPI00895538.1;IPI00875896.1;IPI00895387.1;IPI00857790.1;IPI00858195.1;IPI00856441.1;IPI00857637.1;IPI00857773.1;IPI00856564.1,460977.27,,,
IPI00131954.1,383574.56,48.5,4.18,291.3
IPI00120572.3;IPI00420243.2;IPI00458618.1,237476.31,32.81,4.08,378.23
IPI00119131.2;IPI00127437.2,341424.53,48.42,8.21,
IPI00352475.3,301314.99,,,
IPI00322828.1,391232.28,,,
IPI00310578.3;IPI00377384.3;IPI00670994.1,323615.92,18.07,1.16,859.28
IPI00830976.1;IPI00130959.5;IPI00115987.1;IPI00136708.2,410323.46,23.69,2.02,735.37
IPI00117379.3,297978.0,91.62,7,97.23
IPI00121341.1,308526.14,21.71,1.37,547.87
IPI00845689.1;IPI00473680.2,402872.68,80.74,6.39,147.85
IPI00310323.1;IPI00108371.3;IPI00895390.1;IPI00653972.1,659423.29,65.7,4.43,
IPI00153421.1,352638.57,,,
IPI00555004.3,423275.47,46.94,3.61,238.62
IPI00330695.5;IPI00753430.1;IPI00757239.1;IPI00756747.1,588236.9,124.4,9.41,190.15
IPI00123292.5;IPI00874931.1;IPI00467635.3,399171.66,20.82,1.82,526.57
IPI00125832.1;IPI00857516.1;IPI00857357.1,366918.48,22.05,1.99,442.89
IPI00308609.1;IPI00321634.1;IPI00457967.1,423638.41,27.52,1.56,496.1
IPI00170307.1,369241.93,32.09,2.57,
IPI00117687.1,351877.14,34.58,2.8,649.82
IPI00316740.4;IPI00830885.1;,378566.12,186.08,11.77,192.07
IPI00125652.1;IPI00828588.2,312029.3,121.7,9,95.24
IPI00132531.1;IPI00881846.1;IPI00881750.1;IPI00882364.1;IPI00882043.1,296876.96,30.5,2.05,372.86
IPI00938457.1;IPI00853859.1;IPI00752849.2;IPI00403027.2;IPI00807797.2;IPI00667569.4;IPI00854010.1,392813.66,46.04,2.66,235.4
IPI00338964.3;IPI00468900.5;IPI00311654.4;IPI00336889.4;IPI00944111.1;IPI00311200.4;IPI00889820.1,369556.4,90.39,5.87,189
IPI00223437.4;IPI00380335.3,493900.05,69.22,3.88,244.9
IPI00224128.7;,410422.91,71.73,6.88,194.86
IPI00309322.3;IPI00881090.1;IPI00881455.3;IPI00881172.1,366096.45,23.77,2.48,554.17
IPI00309207.5;IPI00227864.2;IPI00755990.1;IPI00648594.1;,331314.5,29.01,3.02,438.75
IPI00123842.1,223562.79,,,
IPI00221616.5,596244.72,31.73,3.8,759.71
IPI00133229.1,306520.5,42.3,4.89,208.52
IPI00227843.6,313984.29,,,
IPI00316184.1;IPI00880604.1;IPI00880428.1,348935.47,29.11,2.56,391.59
IPI00845660.1;IPI00109996.1;IPI00869446.1;IPI00845713.1;IPI00785317.1;IPI00624138.3;IPI00553278.2;IPI00654993.1;IPI00655224.1;IPI00126969.4;IPI00845774.1;IPI00856542.1;IPI00929856.1;IPI00126966.1;IPI00785542.1;IPI00874518.1;IPI00830912.3;IPI00622540.2;IPI00608044.4;IPI00321666.1;IPI00110805.1;IPI00467377.5;IPI00874827.1;IPI00855183.1;IPI00656170.1;IPI00918696.1;IPI00845771.2;IPI00918405.1;IPI00785278.1;IPI00474374.1;IPI00844656.3;IPI00666719.3,633251.66,206.57,10.49,367.54
IPI00626994.3,468196.19,,,
IPI00331528.9,224243.54,23.4,2.23,270.95
IPI00122521.1;IPI00230598.1;IPI00230599.1;IPI00230601.1;IPI00230600.1;IPI00230602.1;IPI00230597.1,333609.15,50.62,6.02,270.47
IPI00380280.3;IPI00830256.1;IPI00620956.2;IPI00830155.1;,326035.93,37.56,1.79,273.81
IPI00469331.2;IPI00758138.2,298564.61,,,
IPI00312128.3;IPI00453895.3,508302.15,70.27,5.72,239.74
IPI00130304.1;IPI00221883.1,299570.4,18.52,2.18,536.45
IPI00458711.2,784884.68,30.97,2.28,1423.22
IPI00323660.1;IPI00830569.1;IPI00117981.1;IPI00885539.1;IPI00831560.1,412885.92,38.82,3.38,372.24
IPI00915480.1;IPI00115831.1;IPI00830598.1;IPI00831165.2,279440.86,,,
IPI00263042.3,467465.38,39.47,4.27,372.2
IPI00378063.1;IPI00119689.1,499746.77,28.07,1.54,512.99
IPI00272622.1,307633.99,34.81,3.69,290.55
IPI00121851.2;IPI00830479.1,353615.44,22.89,2.36,511.27
IPI00122392.1,408735.33,,,
IPI00228548.6;IPI00649551.1;IPI00649925.1;IPI00648260.1,405631.96,29.04,2.69,307.89
IPI00408957.3;IPI00225028.1,375785.73,15.41,1.19,1138.37
IPI00118930.1,349746.73,27.07,2.27,574.68
IPI00130840.7;IPI00885753.1;IPI00881516.1,458819.85,50.23,3.62,259.74
IPI00331251.1;IPI00116591.1;IPI00885762.1,312016.45,13.77,1.1,
IPI00648763.1;IPI00649028.4,558547.59,,,
IPI00222461.4;IPI00399477.1,248542.71,42.53,7.83,227.21
IPI00404707.1;IPI00761500.1,288756.16,20.74,2.25,437.54
IPI00337893.2,302275.75,42.44,2.85,189.22
IPI00230449.7;IPI00230310.5;IPI00881347.1;IPI00648753.1;IPI00762428.1;IPI00757535.2;IPI00807763.2;IPI00665308.3;IPI00874842.1;IPI00626573.4,434478.77,22.31,2.39,567.06
IPI00624653.1,444681.32,,2.62,
IPI00222675.3;IPI00462142.1;IPI00474962.1,245537.87,25.67,1.74,413.9
IPI00230351.1,308763.86,40.33,2.47,236.2
IPI00311682.5;IPI00752412.1;IPI00420569.2;IPI00122048.2;IPI00762871.2;IPI00830741.1;IPI00230680.7,400353.0,136.55,6.7,170.72
IPI00125880.1,361670.02,65.59,4.64,207.19
IPI00321308.4;IPI00654922.2;IPI00336388.4;IPI00894666.1,457904.19,44.05,2.89,300.6
IPI00308938.6;IPI00622742.1,334736.02,55.11,4.26,181.13
IPI00229834.3;IPI00928004.1;IPI00404856.1;IPI00928577.1;IPI00927965.1,367322.36,51.91,3.1,210.26
IPI00136098.4,215358.68,10.12,1.35,700.21
IPI00753468.2;IPI00310131.5,412755.07,,,
IPI00407692.3;IPI00844689.1;IPI00858269.1;IPI00857006.1,342111.64,20.3,1.25,545.52
IPI00115257.1;IPI00608118.1;IPI00649508.1;IPI00649945.1;IPI00649249.1,327260.08,24.37,1.69,461.39
IPI00955167.1;IPI00461469.3;IPI00894930.1;IPI00134990.2,331713.16,41.48,2.65,259.1
IPI00329913.9;IPI00757109.2;IPI00480558.4,272934.44,11.98,1.09,651.28
IPI00133608.3;IPI00856842.1,294596.56,73.72,6.19,330.64
IPI00136929.1,686688.77,,,
IPI00667117.2;IPI00222430.5;IPI00831604.1;IPI00831693.1,352208.16,58.38,6.36,
IPI00751759.1;IPI00136002.1,334498.55,17.9,2.41,715.5
IPI00321647.2;IPI00849863.1;IPI00124306.1,377111.08,166,10.05,86.5
IPI00458704.2;IPI00918172.1;IPI00918117.1,297357.84,27.28,2.29,655.52
IPI00136169.1;IPI00410858.2;IPI00918348.1;IPI00918132.1;IPI00918200.1;IPI00381169.2,352046.33,30.19,2.79,390.73
IPI00420706.4;IPI00875457.1;IPI00886008.1,297851.89,,,
IPI00138238.1,219408.47,52.12,4.33,163.71
IPI00331422.4;IPI00410740.1,345999.08,,,
IPI00459280.2;IPI00651984.1;IPI00895418.1,351380.48,16.64,1.25,572.89
IPI00338515.4;IPI00750262.1;IPI00653738.2;IPI00752391.1;IPI00753452.1;IPI00752914.2,425120.2,10.09,1.58,1236.69
IPI00131870.3;IPI00885307.1;IPI00649293.1,421981.72,34.9,3.81,387.27
IPI00775965.1;IPI00315334.5;IPI00856440.1;IPI00857121.1;IPI00895033.1;IPI00830951.2,378351.91,22.63,2.05,746.46
IPI00608017.1;IPI00118059.1,295364.7,18.19,1.54,494.86
IPI00132973.1;IPI00648484.1,259465.17,22.26,4.18,377.96
IPI00112320.4;IPI00880901.1;IPI00622766.1,390856.17,28.76,2.68,415.79
IPI00222447.1;IPI00648303.2,221674.73,21.89,3.4,313.47
IPI00110724.2;IPI00762362.1,169763.28,39.02,7.94,212.82
IPI00420727.5,375454.97,18.56,1.36,653.96
IPI00311873.5,396282.4,27.9,2.81,604.35
IPI00315948.3,295545.54,32.76,2.37,367.37
IPI00229680.5;IPI00885326.1;IPI00885228.1,300586.44,21.22,1.16,625.53
IPI00133491.1,297853.27,63.98,5.24,219.08
IPI00881197.1;IPI00670735.1;IPI00128857.1;IPI00761847.2;IPI00463416.1;IPI00308976.1;IPI00928125.1;IPI00876208.1;IPI00109822.1;IPI00785413.1,409429.92,18.83,1.23,565.72
IPI00153101.3;IPI00919191.1;IPI00918273.1;IPI00918152.1;IPI00919199.1,388449.18,59.09,3.9,206.89
IPI00620167.2;IPI00461806.1;IPI00677975.1;,244877.0,38.95,2.36,303.37
IPI00338536.1,298859.3,40.11,2.74,213.3
IPI00225254.6;IPI00874889.1,228399.62,28.02,2.38,408.35
IPI00187407.4,383747.9,27.92,3.45,400.4
IPI00115056.1,244903.7,33.04,3.4,362.54
IPI00762858.1;IPI00468553.3;IPI00928559.1;IPI00283611.1;IPI00759938.1;IPI00283612.2;IPI00928408.1;IPI00928405.1;IPI00928308.1,355410.79,38.52,2.35,255.95
IPI00608097.1;IPI00130000.1;IPI00648932.1;IPI00649168.1;IPI00649421.1,441294.79,36.81,3.19,335.86
IPI00381412.1;IPI00554845.2;IPI00228150.1;IPI00381413.2;IPI00555088.1,301977.67,54.62,3.5,146.56
IPI00229721.3;IPI00653723.1;IPI00895981.1,222855.57,68.66,8.11,437.71
IPI00120709.1,216321.29,22.92,2.09,258.83
IPI00331192.4;IPI00656165.1;IPI00656182.1,303753.13,20,2.4,628.83
IPI00128463.1,411418.24,27.12,4.57,1103.06
IPI00344307.2;IPI00469776.3;IPI00316537.1;IPI00354992.4;IPI00881145.1,304234.57,76.12,5.54,143.91
IPI00223055.3;IPI00928383.1;IPI00928336.1;IPI00928281.1,438125.61,44.62,2.85,298.46
IPI00119478.1;IPI00309658.1;IPI00655150.1;IPI00402982.2;IPI00845765.1,322760.79,17.44,1.39,948.05
IPI00653266.1;IPI00319874.3;IPI00856437.1;IPI00856727.1;,271450.76,17.34,1.86,593.16
IPI00129928.2;IPI00759940.2,440620.53,27.32,2.22,422.18
IPI00310518.3;IPI00648479.2;IPI00890230.1;IPI00648435.1;IPI00648218.1,243335.37,36.8,2.68,239.64
IPI00115511.1;IPI00757690.1;IPI00856303.1,372632.69,44.2,3.51,450.15
IPI00228879.7;IPI00669631.2;IPI00624005.4;IPI00673562.1,229933.28,11.02,1.05,745.16
IPI00283671.4;IPI00830185.1;IPI00469107.1;IPI00664252.1;IPI00669867.1;IPI00120174.1;IPI00849195.1;IPI00831485.1;IPI00471466.1;IPI00471467.1;IPI00831376.1,237062.38,,,
IPI00109764.2;IPI00874810.1,335705.98,29.52,2.69,316.52
IPI00135087.3,349230.55,51.93,4.56,219.02
IPI00109061.1;IPI00473225.1,756047.51,6.63,0.55,2840.05
IPI00133446.1,316024.01,109.83,8.94,199.08
IPI00116112.3;IPI00475410.1,410741.48,60.49,4.86,242.23
IPI00119203.4;IPI00649885.3,271266.95,29.38,2.28,314.93
IPI00109696.1,294487.21,,,
IPI00406492.1;IPI00831695.1;IPI00406493.3;IPI00831118.1;IPI00473663.1,375822.63,34.75,3.33,288.27
IPI00120503.1,411235.09,42.99,3.27,297.79
IPI00129186.1,376290.75,40.19,1.89,349.16
IPI00310474.3,305913.27,26.84,3.55,487.54
IPI00351206.5,322558.21,22.43,1.47,441.28
IPI00269020.7,250164.23,69.83,5.81,220.61
IPI00111181.1,380366.44,34.37,2.91,313.99
IPI00453819.2,366212.05,32.97,2.15,297.89
IPI00130948.3,349388.44,33.92,3.78,326.16
IPI00315100.1;IPI00458109.1;IPI00133412.1,375611.34,67.13,3.98,292.04
IPI00112645.1;IPI00880577.1;IPI00880698.1;IPI00399462.3;IPI00918786.1;IPI00849067.1;IPI00341012.5;IPI00918871.1,308094.18,58.11,7.6,976.48
IPI00130530.1;IPI00857574.1;IPI00649428.2,321030.97,11.96,0.81,
IPI00112004.1,248476.23,80.78,7.07,193.31
IPI00116356.5;IPI00622811.2;IPI00751634.1,326856.7,50.76,3.14,201.41
IPI00387361.1;IPI00876434.1,187923.04,121.26,6.16,206.22
IPI00462445.2;IPI00666323.1;IPI00817013.1,509534.75,117.47,6.16,423.37
IPI00127172.3,378584.9,63.37,4.81,232.64
IPI00671957.2;IPI00658593.2;IPI00831512.1,374840.83,22.06,2.25,688.43
IPI00318935.2;IPI00462115.3;IPI00919281.1;IPI00919046.1,190026.69,49.16,4.1,165.12
IPI00876084.1;IPI00331182.4,349506.27,15.2,1.15,698.8
IPI00229527.7;IPI00798439.1,280279.22,22.6,1.53,334.26
IPI00123589.1,339916.97,65.31,4.81,222.15
IPI00469323.1,243649.07,64.06,4.84,302.74
IPI00133737.2;IPI00928293.1,295395.72,35.2,2.26,311.37
IPI00223425.2;IPI00877283.1;IPI00877224.1;IPI00331207.5;IPI00877264.1;IPI00153656.1;IPI00606138.1;IPI00121045.2;IPI00876493.1;IPI00607041.1;IPI00886040.1;IPI00886174.1;IPI00885248.1;IPI00886410.1;IPI00785326.1;IPI00605392.1;IPI00408241.1;IPI00606741.1,293344.49,27.11,3.49,543.91
IPI00756424.3;,239044.32,18.6,1.06,412.09
IPI00117072.1,157602.41,91.22,6.88,94.4
IPI00876323.1;IPI00133342.1;IPI00662189.2;IPI00762803.1;IPI00605093.2,400130.84,,3.52,
IPI00308498.1,387995.23,20.98,2.74,508.37
IPI00272238.5;IPI00896572.1,278902.09,18.97,1.02,702.1
IPI00162781.2;IPI00880335.1;IPI00880903.1;IPI00751254.1,185649.27,63.06,4.75,138.31
IPI00108204.2;IPI00648535.1,91720.58,19.07,2,187.55
IPI00125510.1;IPI00911149.1;IPI00284515.1;IPI00911179.1;IPI00649109.1;IPI00649936.1,183044.64,67.5,7.34,115.21
IPI00134820.1,285662.48,29.94,2.82,394.78
IPI00420329.1;IPI00466991.1,324014.99,43.27,2.37,295.13
IPI00471361.3,220965.67,45.68,3.81,191.84
IPI00110207.1,204428.5,10.26,1.25,890.4
IPI00453771.2,375518.71,33.63,2.99,404.06
IPI00129519.3;IPI00848502.1,114097.13,67.49,4.68,57.48
IPI00109824.1,210608.7,56.98,6.72,236.01
IPI00171974.1;IPI00753915.2;IPI00317752.2,240253.95,54.89,3.23,194.82
IPI00889833.1;IPI00387416.1,470895.9,34.56,3.34,523.39
IPI00266463.5;IPI00761620.1;IPI00224645.1;IPI00224644.1,230724.81,53.13,4.2,122.19
IPI00132089.2,308298.54,38.28,2.85,232.7
IPI00653381.3;IPI00828969.1;IPI00415684.6;IPI00467374.1;IPI00415685.3,346624.99,30.69,3.17,482.74
IPI00133920.3,397292.8,78.84,5.81,149.54
IPI00230429.4;IPI00135150.4,268186.41,18.51,1.86,527.36
IPI00230612.3;IPI00323644.4;IPI00881157.1;IPI00918851.1,313957.39,28.11,1.97,340.07
IPI00122011.2;IPI00625759.2,325949.7,65.26,4.81,176.14
IPI00132322.5;,221036.68,11.93,1.52,1196.36
IPI00126892.12,237228.88,25.3,2.4,316.09
IPI00624501.2,299148.2,41.99,3.26,249.98
IPI00755892.1,393393.07,43.65,3.88,320.18
IPI00112227.1;IPI00894982.1,206546.51,37.16,3.7,182.82
IPI00173157.4;IPI00828429.1,243795.4,69.17,5.28,135.26
IPI00113386.1,308955.27,10.74,0.62,793.51
IPI00109073.5,488710.14,,,
IPI00133126.1;IPI00881483.1,249178.98,36.54,3.43,1102
IPI00753815.3;IPI00757353.2,339190.8,,,
IPI00124752.1;IPI00849056.1;IPI00850857.1,233913.01,27.3,2.45,437.5
IPI00761650.1;IPI00113287.1;IPI00654099.1,192088.33,11.02,0.87,673.23
IPI00396739.1;IPI00663812.4;IPI00652115.2,287880.03,16.71,1.43,611.35
IPI00122383.1,255963.78,31.96,4.94,378.72
IPI00126115.1;IPI00278561.1;IPI00653231.1,377174.05,17.17,1.64,555.13
IPI00315452.5;IPI00607023.1;IPI00751493.2;IPI00850054.1,417307.2,9.32,0.77,816.87
IPI00129466.1;IPI00111589.1;IPI00649286.1,255693.64,23.84,2.88,387.44
IPI00311131.1;IPI00331548.2,323626.47,22.18,3.33,508.69
IPI00329837.3;IPI00459295.1,272799.27,13.69,1.84,768.12
IPI00137848.1,264637.34,39.46,4.35,280.74
IPI00121833.3,298531.26,,,
IPI00120915.2;IPI00649890.2;IPI00649435.2;IPI00648039.1;IPI00133735.2;IPI00882110.1;IPI00880583.1;IPI00880681.1,146733.72,8.11,0.82,1451.8
IPI00117350.1,658352.69,11.22,0.87,1836.26
IPI00129873.1;IPI00849654.1;IPI00135842.1;IPI00353923.3,296185.19,7.73,0.73,1020.01
IPI00944043.1;IPI00129350.1;IPI00221398.1,294632.43,21.12,2.38,376.72
IPI00515393.3;IPI00124520.1,253322.25,80.6,6.13,208.54
IPI00453817.3;IPI00474858.1,494977.86,,,
IPI00112043.2;IPI00828854.1;IPI00894613.1;IPI00125605.1,231558.95,7.28,1.26,2330.37
IPI00264501.8;IPI00321378.3;IPI00404438.1;IPI00404436.1;IPI00404435.1;IPI00404434.1,287846.12,41.17,3.9,414.19
IPI00137471.3;IPI00775981.1,306354.47,11.26,0.55,804.41
IPI00222739.2;IPI00664246.4;IPI00831135.1;IPI00831710.1;IPI00831024.1,289319.74,40.65,3.24,313.82
IPI00120826.1;IPI00458428.1,424838.51,100.53,7.61,218.35
IPI00134058.3,280712.57,14.13,0.78,789.36
IPI00118227.1,133907.75,41.98,4.89,108.6
IPI00623951.3,151308.03,,,
IPI00113214.1;IPI00881918.1;IPI00881491.1;IPI00881643.1,417933.5,43.85,2.94,268.86
