id,pNumber,mNumber,alpha,beta
IPI00620256.3;IPI00400300.1;IPI00230435.1;IPI00886130.1,9.69620657e6,238.28,13.91,1277.63
IPI00263879.4;IPI00625702.1;IPI00120674.2;IPI00668025.2;IPI00886087.1,9.63199131e6,,,
IPI00880252.1;IPI00114733.1;IPI00880972.1;IPI00123306.2,1.733233528e7,444.32,22.86,1100.35
IPI00269661.1;IPI00459722.2;IPI00677689.3,8.543047e6,,2.43,
IPI00134599.1;IPI00856866.1,1.033850654e7,314.71,15.25,913.95
IPI00461456.1;IPI00849847.1;IPI00874935.1;IPI00758298.1;IPI00752985.1;IPI00752639.1;IPI00876212.1;IPI00754976.2;IPI00848364.1;IPI00876172.1;IPI00756014.1;IPI00672807.2;IPI00623004.3;IPI00662290.1;IPI00620925.2;IPI00850004.1;IPI00849834.1;IPI00345911.2;IPI00379638.1;IPI00379639.1;IPI00754636.2,8.57130829e6,,,
IPI00313222.5;IPI00626312.1;IPI00457852.3;IPI00853789.1;IPI00378933.4,9.02060494e6,131.96,11.93,2021.13
IPI00222546.5;IPI00755995.1;IPI00850585.1;IPI00660661.2;IPI00848995.1;IPI00667777.1,8.11994262e6,,,
IPI00311236.1;IPI00775948.1;IPI00673513.2;IPI00458337.4,8.19667257e6,,54.17,
IPI00121427.1,6.7585154e6,1193.05,70.31,174.93
IPI00127841.3;IPI00462250.2;IPI00658303.1;IPI00663219.2,8.31342082e6,276.79,19.34,879.24
IPI00323592.2,8.86859756e6,184.44,12.17,1279.71
IPI00230660.5;IPI00857457.1;IPI00849417.1;IPI00849692.1;IPI00749889.1;IPI00857288.1;IPI00857931.1;IPI00850815.1;IPI00849251.1;IPI00459875.4;IPI00874430.1;,7.23484423e6,7.41,1.14,27988.42
IPI00122426.1;IPI00264398.3;IPI00648315.1;IPI00754211.1;IPI00849754.1;IPI00853788.1,6.735052e6,,,
IPI00331345.5;IPI00473521.1;IPI00679159.2,7.3213751e6,258.41,18.25,819.79
IPI00314950.2;IPI00626366.3;IPI00752782.1;IPI00626504.2;IPI00130830.1,9.81149524e6,1063.71,51.8,273.94
IPI00127415.1;IPI00849626.1;IPI00515155.1;IPI00649841.1;IPI00648014.1;IPI00674226.5;IPI00468717.7,7.3822897e6,564.79,71.28,365.46
IPI00466820.4;IPI00828628.2;IPI00475203.1;IPI00849948.1;IPI00875282.1;IPI00671398.1;IPI00274175.1,9.4841658e6,,35.08,
IPI00457898.3,8.26748175e6,,2.49,
IPI00555069.3;,1.072874855e7,,16.26,
IPI00849927.1,6.83284409e6,,,
IPI00131357.7;IPI00379267.3,6.5042221e6,,,
IPI00123007.1;IPI00677102.1;IPI00466822.2;IPI00469629.3;IPI00461413.1;IPI00625397.2;IPI00955368.1;IPI00874922.1,8.07746549e6,9.44,0.86,25219.48
IPI00131259.2;IPI00224486.1;IPI00890027.1;IPI00120051.1,7.0181967e6,174.27,11.33,1401.43
IPI00139780.1;IPI00849890.1;IPI00648121.1,6.74522787e6,89.17,8.25,2171.49
IPI00354819.5;IPI00848866.1;IPI00474757.4;IPI00462232.3;IPI00850361.1;IPI00458035.3;IPI00850299.1,6.99581551e6,,,
IPI00869475.1;IPI00474487.1;IPI00463297.4;IPI00849174.1;IPI00113713.1;IPI00230679.5;IPI00755959.1;IPI00889996.1;IPI00351871.3,6.41153208e6,,,
IPI00117569.3;IPI00762542.2;IPI00625021.1,7.24233497e6,670.2,45.31,305.97
IPI00331121.4;IPI00138302.1;IPI00677340.1;IPI00664437.1,7.70679236e6,24.51,2.45,9115.92
IPI00318841.4;IPI00408350.1;IPI00664589.1,8.30176987e6,172.68,10.37,1361.26
IPI00944141.1;IPI00125521.3;IPI00857345.1,7.85136187e6,816.03,52.9,277.09
IPI00125901.5;IPI00751092.1,8.14394356e6,,,
IPI00230395.5;IPI00652811.1,1.013050517e7,158.26,15.46,2089.54
IPI00853914.1,8.0654794e6,,,
IPI00469918.4;IPI00881758.1;IPI00850220.1,7.28414397e6,521.3,29.99,398.41
IPI00856379.1;IPI00221402.7;IPI00858310.1;IPI00856272.1;IPI00649880.2;IPI00856247.1;IPI00856415.1;IPI00119458.7,7.96933275e6,337.25,18.18,716.54
IPI00130589.8;IPI00135857.3;IPI00458744.1,5.15233226e6,298.68,20.26,470.46
IPI00331461.4;IPI00626239.3;IPI00474856.1;IPI00624735.4;IPI00118707.1;IPI00340036.2;IPI00848952.1,5.71349474e6,,,
IPI00127417.1;IPI00408489.1;IPI00379441.4,6.64628955e6,445.33,29.82,414.31
IPI00466069.3,7.21948535e6,820.38,42.85,309.23
IPI00319992.1,7.7526425e6,304.85,19.76,685.65
IPI00875584.1;IPI00113241.7;IPI00665513.3;IPI00875929.1;IPI00857038.1;IPI00125787.4;IPI00350414.6;IPI00664029.2;IPI00857391.1;IPI00625067.4;IPI00343021.3,6.00048335e6,37.75,3.35,4447.73
IPI00117043.1;IPI00404804.1;IPI00266875.5;IPI00885994.1;IPI00885500.1,1.069362759e7,171.31,10.13,2195.48
IPI00404662.2,5.54170865e6,,,
IPI00222549.6;IPI00553826.3;IPI00463886.1;IPI00850777.1;IPI00755623.3;IPI00283156.1;IPI00849828.1;IPI00461881.1;IPI00379029.4,6.79107444e6,774.61,55.68,333.96
IPI00230707.6,5.41638617e6,93.33,11.3,1958.05
IPI00109044.8;IPI00750441.1;IPI00758006.1;IPI00918606.1,7.78074193e6,97.98,6.79,3091.49
IPI00377441.3;IPI00261455.5;IPI00674601.1;IPI00848868.1;IPI00754798.1,5.97367276e6,,,
IPI00228616.5,6.12167299e6,,,
IPI00467841.6;IPI00761696.2;IPI00265576.6;IPI00109368.3;IPI00666857.2;IPI00848989.1;IPI00284119.7,6.25345788e6,,,
IPI00849793.1;IPI00463634.1;IPI00670378.3,6.62415155e6,,,
IPI00222547.6;IPI00473429.2;IPI00620288.1;IPI00885498.1,4.76537146e6,,,
IPI00223217.6;IPI00919200.1;IPI00654400.1;IPI00462204.1,5.41076104e6,366.95,23.74,406.32
IPI00122413.2;IPI00473762.1;IPI00850681.1;IPI00407917.1;IPI00881026.1;IPI00762232.1;IPI00881383.1;IPI00275118.4;IPI00756253.2;IPI00131534.1;,7.11243459e6,,,
IPI00315548.3;IPI00473445.1;IPI00555045.2;IPI00467197.5;IPI00626639.2;IPI00664929.1;IPI00468385.1;IPI00624454.1;IPI00749628.1;IPI00273514.3;IPI00468196.1;IPI00378437.3;IPI00461504.1;IPI00462005.1;IPI00757792.1;IPI00130348.3;IPI00875087.1;IPI00380998.3;IPI00407707.2;IPI00606615.1;IPI00404653.4;IPI00890082.1;IPI00135074.3;IPI00115817.3;IPI00890245.1;IPI00457946.1;IPI00460090.5;IPI00751831.1;IPI00850807.1;IPI00853797.1;IPI00850927.1;IPI00849538.1;IPI00889838.1,5.66476554e6,,,
IPI00117288.3;IPI00277066.4;IPI00648228.3,7.11350984e6,174.42,12.98,1292.98
IPI00125778.4;IPI00458794.3,7.01591175e6,245.12,18.13,1096.48
IPI00626628.1;IPI00553612.3;IPI00461641.2;IPI00474407.2;IPI00114472.3;IPI00133503.1;IPI00755204.2;IPI00136263.1;IPI00606522.2;IPI00761349.1,5.77143582e6,31.48,3.42,5415.02
IPI00308706.4;IPI00881253.1;IPI00848940.1,5.34193043e6,,,
IPI00322312.3,6.07591995e6,,,
IPI00465568.5;IPI00753456.1;IPI00402981.2;IPI00751050.2;IPI00131934.2;IPI00889896.1,6.49280676e6,38.43,3.19,4569.02
IPI00133185.3;IPI00889222.1;IPI00890140.1;IPI00473728.1;IPI00890181.1,5.30385998e6,,,
IPI00317309.5,7.55983029e6,158.92,9.84,1245.11
